car_name,brand,model,vehicle_age,km_driven,mileage,max_power,seats,selling_price
Datsun RediGO,Datsun,RediGO,4,23000,22.7,53.64,5,310000
Maruti Alto,Maruti,Alto,12,55274,19.7,46.3,5,145000
Maruti Alto,Maruti,Alto,8,70000,20.2,67.1,5,230000
Maruti Alto,Maruti,Alto,4,10617,24.7,47.3,5,314000
Maruti Alto,Maruti,Alto,4,9122,24.7,47.3,5,323000
Renault KWID,Renault,KWID,5,51000,21.74,67,5,315000
Maruti Celerio,Maruti,Celerio,5,70000,23.1,67.04,5,375000
Maruti Celerio,Maruti,Celerio,3,9522,21.63,67.05,5,550000
Maruti Celerio,Maruti,Celerio,3,22000,21.63,67.05,5,455000
Maruti Alto,Maruti,Alto,3,17000,24.7,47.3,5,345000
Maruti Wagon R,Maruti,Wagon R,5,50000,20.51,67,5,425000
Maruti Wagon R,Maruti,Wagon R,3,23000,20.51,67,5,465000
Renault KWID,Renault,KWID,5,25600,25.17,53.3,5,280000
Maruti Alto,Maruti,Alto,12,67833,19.7,46.3,5,175000
Maruti Baleno,Maruti,Baleno,4,30726,21.1,100,5,659000
Renault KWID,Renault,KWID,3,10000,23.01,67,5,375000
Maruti Alto,Maruti,Alto,7,40000,22.74,47.3,5,230000
Maruti Celerio,Maruti,Celerio,4,18400,21.63,67.04,5,485000
Maruti Wagon R,Maruti,Wagon R,8,77000,26.6,58.16,5,335000
Maruti Alto,Maruti,Alto,11,29000,19.7,46.3,5,175000
Maruti Alto,Maruti,Alto,5,49000,22.74,47.3,5,300000
Renault KWID,Renault,KWID,4,35500,25.17,53.3,5,295000
Renault KWID,Renault,KWID,5,35000,25.17,53.3,5,250000
Maruti Wagon R,Maruti,Wagon R,3,32000,33.54,67.04,5,485000
Ford Ecosport,Ford,Ecosport,6,78000,18.88,123.37,5,635000
Maruti Wagon R,Maruti,Wagon R,5,70000,20.51,67,5,420000
Maruti Alto,Maruti,Alto,5,25603,22.74,47.3,5,291000
Maruti Wagon R,Maruti,Wagon R,5,22756,21.79,67.05,5,421000
Maruti Alto,Maruti,Alto,15,80000,19.7,46.3,5,60000
Maruti Alto,Maruti,Alto,13,30008,19.7,46.3,5,175000
Maruti Alto,Maruti,Alto,11,53503,19.7,46.3,5,175000
Maruti Alto,Maruti,Alto,10,9000,19.7,46.3,5,160000
Renault Triber,Renault,Triber,2,10000,20,72,7,660000
Maruti Alto,Maruti,Alto,3,35000,23.95,67.1,5,350000
Renault KWID,Renault,KWID,3,15235,23.01,67,5,410000
Maruti Alto,Maruti,Alto,6,17000,23.95,67.1,5,320000
Renault KWID,Renault,KWID,4,20966,25.17,53.3,5,349000
Maruti Celerio,Maruti,Celerio,4,55001,23.1,67.04,5,485000
Maruti Celerio,Maruti,Celerio,4,39400,31.79,58.2,5,475000
Renault KWID,Renault,KWID,2,5000,25.17,53.3,5,350000
Maruti Wagon R,Maruti,Wagon R,4,18000,20.51,67.04,5,475000
Renault KWID,Renault,KWID,3,20000,25.17,53.3,5,365000
Ford Ecosport,Ford,Ecosport,7,63000,18.88,123.37,5,535000
Renault KWID,Renault,KWID,3,25000,25.17,53.3,5,330000
Renault KWID,Renault,KWID,2,40000,25.17,53.3,5,325000
Renault KWID,Renault,KWID,5,40000,25.17,53.3,5,220000
Maruti Wagon R,Maruti,Wagon R,5,42000,20.51,67,5,445000
Maruti Celerio,Maruti,Celerio,6,36000,23.1,67.04,5,430000
Maruti Alto,Maruti,Alto,15,83000,19.7,46.3,5,95000
Maruti Alto,Maruti,Alto,5,47233,23.95,67.1,5,300000
Maruti Alto,Maruti,Alto,17,58000,19.7,46.3,5,111000
Renault KWID,Renault,KWID,5,19000,22.3,53.26,5,324000
Renault KWID,Renault,KWID,5,21200,22.3,53.26,5,345000
Maruti Wagon R,Maruti,Wagon R,3,50000,26.6,58.16,5,434000
Renault KWID,Renault,KWID,4,15000,25.17,53.3,5,350000
Maruti Alto,Maruti,Alto,9,17000,20.92,67.1,5,180000
Maruti Wagon R,Maruti,Wagon R,6,48000,32.52,58.33,5,365000
Maruti Alto,Maruti,Alto,3,40737,22.74,47.3,5,325000
Maruti Alto,Maruti,Alto,12,22000,19.7,46.3,5,140000
Maruti Alto,Maruti,Alto,11,11000,26.83,38.4,5,185000
Maruti Celerio,Maruti,Celerio,7,76000,23.1,67.04,5,325000
Maruti Wagon R,Maruti,Wagon R,8,50000,20.51,67.04,5,292000
Maruti Alto,Maruti,Alto,6,20000,23.95,67.05,5,300000
Renault KWID,Renault,KWID,1,5000,24.04,67,5,400000
Maruti Alto,Maruti,Alto,5,29000,22.74,47.3,5,285000
Maruti Wagon R,Maruti,Wagon R,5,64224,33.54,67.04,5,375000
Maruti Wagon R,Maruti,Wagon R,9,65000,18.9,67.1,5,265000
Maruti Wagon R,Maruti,Wagon R,9,84000,18.9,67.1,5,215000
Maruti Celerio,Maruti,Celerio,2,20000,23.1,67.04,5,520000
Maruti Alto,Maruti,Alto,11,40000,20.92,67.1,5,250000
Datsun RediGO,Datsun,RediGO,3,16500,22.7,53.64,5,290000
Maruti Wagon R,Maruti,Wagon R,7,84000,20.51,67.04,5,350000
Renault KWID,Renault,KWID,3,9800,24.04,67,5,415000
Maruti Alto,Maruti,Alto,6,66000,23.95,67.05,5,325000
Maruti Wagon R,Maruti,Wagon R,9,50000,18.9,67.1,5,250000
Maruti Wagon R,Maruti,Wagon R,7,40000,20.51,67.04,5,400000
Maruti Wagon R,Maruti,Wagon R,5,39000,20.51,67.04,5,420000
Renault KWID,Renault,KWID,4,17000,24.04,67,5,385000
Maruti Celerio,Maruti,Celerio,6,80000,23.1,67.04,5,450000
Renault KWID,Renault,KWID,2,10695,23.01,67,5,395000
Maruti Wagon R,Maruti,Wagon R,4,24000,20.51,67.04,5,450000
Maruti Alto,Maruti,Alto,10,80000,20.92,67.1,5,250000
Maruti Wagon R,Maruti,Wagon R,5,49000,26.6,58.16,5,365000
Maruti Wagon R,Maruti,Wagon R,9,51000,18.9,67.1,5,200000
Maruti Wagon R,Maruti,Wagon R,3,36274,26.6,58.16,5,455000
Maruti Wagon R,Maruti,Wagon R,10,50000,20.51,67.04,5,275000
Renault KWID,Renault,KWID,5,50700,23.01,67,5,340000
Datsun RediGO,Datsun,RediGO,5,79000,22.7,53.64,5,235000
Datsun RediGO,Datsun,RediGO,4,75000,22.7,53,5,285000
Maruti Wagon R,Maruti,Wagon R,4,37000,26.6,58.16,5,415000
Maruti Celerio,Maruti,Celerio,5,14286,23.1,67.04,5,395000
Maruti Alto,Maruti,Alto,3,23150,23.95,67.1,5,394000
Maruti Wagon R,Maruti,Wagon R,11,48300,18.9,67.1,5,240000
Maruti Wagon R,Maruti,Wagon R,8,39757,20.51,67.04,5,298000
Maruti Wagon R,Maruti,Wagon R,6,52606,18.9,67.1,5,370000
Maruti Alto,Maruti,Alto,14,17000,19.7,46.3,5,145000
Maruti Alto,Maruti,Alto,10,49100,19.7,46.3,5,155000
Maruti Wagon R,Maruti,Wagon R,5,15680,20.51,67.04,5,451000
Maruti Wagon R,Maruti,Wagon R,10,29000,21.79,67.05,5,260000
Maruti Wagon R,Maruti,Wagon R,5,36100,26.6,58.16,5,414000
Renault KWID,Renault,KWID,4,15000,23.01,67,5,330000
Maruti Alto,Maruti,Alto,7,28000,33.44,40.3,4,281000
Volkswagen Polo,Volkswagen,Polo,3,17000,18.78,75,5,635000
Renault KWID,Renault,KWID,3,50000,25.17,53.3,5,350000
Renault KWID,Renault,KWID,3,45000,25.17,53.3,5,350000
Renault KWID,Renault,KWID,4,20000,25.17,53.3,5,375000
Maruti Alto,Maruti,Alto,6,30000,23.95,67.1,5,350000
Maruti Wagon R,Maruti,Wagon R,7,35000,20.51,67.04,5,370000
Maruti Alto,Maruti,Alto,7,48828,22.74,47.3,5,275000
Renault KWID,Renault,KWID,2,27000,24.04,67,5,460000
Maruti Wagon R,Maruti,Wagon R,7,56795,26.2,58.2,5,340000
Maruti Alto,Maruti,Alto,13,60000,19.7,46.3,5,150000
Renault KWID,Renault,KWID,6,60000,23.01,67,5,315000
Maruti Celerio,Maruti,Celerio,5,36836,23.1,67.04,5,460000
Maruti Alto,Maruti,Alto,10,20000,19.7,46.3,5,170000
Maruti Alto,Maruti,Alto,9,33700,20.92,67.1,5,200000
Maruti Wagon R,Maruti,Wagon R,3,27000,20.51,67,5,550000
Maruti Wagon R,Maruti,Wagon R,4,25000,21.79,67.05,5,425000
Maruti Wagon R,Maruti,Wagon R,7,69000,33.54,67.04,5,349000
Maruti Wagon R,Maruti,Wagon R,12,27000,18.9,67.1,5,185000
Maruti Alto,Maruti,Alto,3,23493,24.7,47.3,5,319000
Renault KWID,Renault,KWID,4,29000,24.04,67,5,400000
Renault KWID,Renault,KWID,5,21000,22.3,53.26,5,300000
Maruti Wagon R,Maruti,Wagon R,6,28000,18.9,67.1,5,390000
Datsun RediGO,Datsun,RediGO,3,3200,23,67,5,346000
Maruti Celerio,Maruti,Celerio,7,56000,31.79,58.2,5,340000
Maruti Celerio,Maruti,Celerio,3,28314,23.1,67.04,5,490000
Hyundai Venue,Hyundai,Venue,1,4000,18.15,118.35,5,1185000
Maruti Alto,Maruti,Alto,3,29000,33.44,40.3,4,345000
Maruti Alto,Maruti,Alto,3,6800,23.95,67.05,5,375000
Maruti Alto,Maruti,Alto,4,3600,24.7,47.3,5,318000
Maruti Wagon R,Maruti,Wagon R,7,20903,32.52,58.33,5,410000
Renault KWID,Renault,KWID,5,87000,22.3,53.26,5,325000
Renault KWID,Renault,KWID,5,37000,25.17,53.3,5,350000
Maruti Alto,Maruti,Alto,9,70000,19.7,46.3,5,200000
Maruti Alto,Maruti,Alto,9,55294,20.92,67.1,5,251000
Volkswagen Polo,Volkswagen,Polo,2,37326,18.78,75,5,550000
Maruti Alto,Maruti,Alto,7,48255,22.74,47.3,5,250000
Renault KWID,Renault,KWID,4,33000,24.04,67,5,395000
Maruti Wagon R,Maruti,Wagon R,7,40330,20.51,67.04,5,290000
Maruti Celerio,Maruti,Celerio,3,36000,23.1,67.04,5,545000
Maruti Wagon R,Maruti,Wagon R,5,58802,18.9,67.1,5,425000
Maruti Alto,Maruti,Alto,3,37000,24.7,47.3,5,349000
Maruti Wagon R,Maruti,Wagon R,14,78000,18.9,67.1,5,160000
Maruti Alto,Maruti,Alto,2,20000,23.95,67.05,5,370000
Maruti Alto,Maruti,Alto,11,35000,19.7,46.3,5,115000
Maruti Alto,Maruti,Alto,8,15000,22.74,47.3,5,262000
Maruti Alto,Maruti,Alto,11,51479,19.7,46.3,5,195000
Renault KWID,Renault,KWID,3,30000,25.17,53.3,5,320000
Maruti Alto,Maruti,Alto,5,52361,23.95,67.05,5,350000
Renault KWID,Renault,KWID,5,25000,23.01,67,5,250000
Maruti Alto,Maruti,Alto,15,120000,19.7,46.3,5,150000
Datsun RediGO,Datsun,RediGO,4,35000,22.7,53.64,5,230000
Renault KWID,Renault,KWID,5,30000,25.17,53.3,5,345000
Maruti Celerio,Maruti,Celerio,3,17000,23.1,67.04,5,500000
Maruti Alto,Maruti,Alto,12,70000,19.7,46.3,5,165000
Hyundai Venue,Hyundai,Venue,2,15000,18.27,118.35,5,958000
Maruti Alto,Maruti,Alto,5,32903,23.95,67.05,5,347000
Maruti Alto,Maruti,Alto,9,42000,19.7,46.3,5,211000
Maruti Alto,Maruti,Alto,8,40580,22.74,47.3,5,224000
Maruti Alto,Maruti,Alto,11,80000,19.7,46.3,5,164000
Renault KWID,Renault,KWID,5,34000,23.01,67,5,385000
Maruti Alto,Maruti,Alto,3,30000,23.95,67.05,5,380000
Maruti Alto,Maruti,Alto,8,66516,22.74,47.3,5,220000
Maruti Wagon R,Maruti,Wagon R,9,109000,14.4,61.7,5,260000
Hyundai Venue,Hyundai,Venue,2,10000,18.15,118.35,5,1000000
Maruti Wagon R,Maruti,Wagon R,4,60000,20.51,67.04,5,380000
Maruti Wagon R,Maruti,Wagon R,9,66000,20.51,67.04,5,291000
Maruti Alto,Maruti,Alto,3,35000,23.95,67.05,5,350000
Maruti Alto,Maruti,Alto,2,1200,22.05,47.3,5,350000
Maruti Wagon R,Maruti,Wagon R,5,50000,20.51,67,5,495000
Renault KWID,Renault,KWID,3,5694,25.17,53.3,5,380000
Renault KWID,Renault,KWID,3,9200,23.01,67,5,450000
Maruti Alto,Maruti,Alto,3,25000,23.95,67.1,5,410000
Maruti Alto,Maruti,Alto,9,67000,19.7,46.3,5,235000
Maruti Alto,Maruti,Alto,12,26097,19.7,46.3,5,175000
Maruti S-Presso,Maruti,S-Presso,1,1000,21.7,67,5,490000
Maruti Alto,Maruti,Alto,14,86156,19.7,46.3,5,185000
Maruti Alto,Maruti,Alto,9,60000,19.7,46.3,5,185000
Maruti Alto,Maruti,Alto,3,15453,24.7,47.3,5,327000
Maruti Alto,Maruti,Alto,6,70000,23.95,67.05,5,265000
Renault Triber,Renault,Triber,1,5600,20,71,7,800000
Maruti S-Presso,Maruti,S-Presso,2,5000,21.7,67,5,420000
Maruti Wagon R,Maruti,Wagon R,7,76470,20.51,67.04,5,310000
Maruti Wagon R,Maruti,Wagon R,10,78010,20.51,67.04,5,309000
Maruti Alto,Maruti,Alto,6,35236,22.74,47.3,5,300000
Maruti Alto,Maruti,Alto,6,25000,23.95,67.05,5,350000
Maruti Celerio,Maruti,Celerio,7,39000,23.1,67.04,5,465000
Maruti Celerio,Maruti,Celerio,6,50000,27.62,47,5,290000
Maruti Wagon R,Maruti,Wagon R,5,40000,20.51,67.04,5,325000
Maruti Wagon R,Maruti,Wagon R,4,41000,20.51,67,5,435000
Renault KWID,Renault,KWID,1,4000,25.17,53.3,5,429000
Maruti Celerio,Maruti,Celerio,2,58000,21.63,67.04,5,495000
Maruti Alto,Maruti,Alto,3,80000,22.74,47.3,5,290000
Maruti Wagon R,Maruti,Wagon R,6,60000,20.51,67.06,5,375000
Renault KWID,Renault,KWID,4,40000,25.17,53.3,5,350000
Datsun RediGO,Datsun,RediGO,3,30000,22.5,67,5,255000
Renault KWID,Renault,KWID,6,30000,25.17,53.3,5,310000
Maruti Alto,Maruti,Alto,9,60000,20.92,67.1,5,254000
Renault KWID,Renault,KWID,6,68000,25.17,53.3,5,325000
Maruti Wagon R,Maruti,Wagon R,8,37000,18.9,67.1,5,390000
Maruti Alto,Maruti,Alto,4,25884,23.95,67.05,5,385000
Maruti Alto,Maruti,Alto,7,56000,22.74,47.3,5,265000
Maruti Alto,Maruti,Alto,7,60000,23.95,67.05,5,315000
Maruti Alto,Maruti,Alto,16,90000,19.7,46.3,5,90000
Maruti Alto,Maruti,Alto,15,103000,19.7,46.3,5,150000
Renault KWID,Renault,KWID,4,50000,23.01,67,5,310000
Maruti Alto,Maruti,Alto,10,62900,20.92,67.1,5,235000
Maruti Wagon R,Maruti,Wagon R,4,19000,20.51,67,5,485000
Maruti Wagon R,Maruti,Wagon R,7,27894,21.79,67.05,5,375000
Maruti Alto,Maruti,Alto,10,72715,20.92,67.1,5,210000
Maruti Alto,Maruti,Alto,4,70000,24.7,47.3,5,270000
Maruti Alto,Maruti,Alto,8,45000,22.74,47.3,5,285000
Maruti Alto,Maruti,Alto,2,21900,24.7,47.3,5,360000
Maruti Celerio,Maruti,Celerio,2,25000,23.1,67.04,5,530000
Maruti Alto,Maruti,Alto,14,100000,19.7,46.3,5,145000
Maruti Alto,Maruti,Alto,7,35000,23.95,67.05,5,213000
Maruti Alto,Maruti,Alto,5,40000,23.95,67.05,5,300000
Renault KWID,Renault,KWID,5,45500,23.01,67,5,325000
Maruti Celerio,Maruti,Celerio,4,9400,23.1,67.04,5,470000
Maruti Alto,Maruti,Alto,3,18404,24.7,47.3,5,329000
Ford Ecosport,Ford,Ecosport,4,11000,18.88,123.24,5,950000
Renault KWID,Renault,KWID,5,15814,25.17,53.3,5,340000
Renault KWID,Renault,KWID,3,39000,25.17,53.3,5,325000
Maruti Alto,Maruti,Alto,4,60000,22.74,47.3,5,310000
Renault KWID,Renault,KWID,3,26000,25.17,53.3,5,400000
Renault KWID,Renault,KWID,4,50000,25.17,53.3,5,280000
Maruti Alto,Maruti,Alto,3,20000,24.7,47.3,5,310000
Maruti Wagon R,Maruti,Wagon R,6,70000,20.51,67.04,5,380000
Maruti Alto,Maruti,Alto,12,60000,19.7,46.3,5,106000
Maruti Celerio,Maruti,Celerio,7,86000,23.1,67.04,5,385000
Maruti Wagon R,Maruti,Wagon R,5,31200,20.51,67,5,500000
Maruti Alto,Maruti,Alto,5,60000,22.74,47.3,5,275000
Maruti Celerio,Maruti,Celerio,5,54000,23.1,67.04,5,450000
Renault KWID,Renault,KWID,5,46260,22.3,53.26,5,365000
Maruti Wagon R,Maruti,Wagon R,6,22000,20.51,67.04,5,411000
Renault KWID,Renault,KWID,2,10000,24.04,67,5,448000
Renault KWID,Renault,KWID,2,26500,23.01,67,5,353000
Maruti Alto,Maruti,Alto,9,55230,23.95,67.05,5,273000
Maruti Alto,Maruti,Alto,8,50418,22.74,47.3,5,280000
Maruti Alto,Maruti,Alto,4,54938,24.7,47.3,5,300000
Maruti Wagon R,Maruti,Wagon R,5,11999,20.51,67.04,5,436000
Renault KWID,Renault,KWID,4,110000,23.01,67,5,200000
Maruti Wagon R,Maruti,Wagon R,7,18000,18.9,67.1,5,450000
Renault KWID,Renault,KWID,4,35914,23.01,67,5,380000
Maruti Wagon R,Maruti,Wagon R,6,60000,20.51,67,5,300000
Maruti Alto,Maruti,Alto,7,35000,22.74,47.3,5,250000
Renault KWID,Renault,KWID,3,9000,23.01,67,5,445000
Maruti Wagon R,Maruti,Wagon R,3,8973,20.51,67.04,5,500000
Hyundai Venue,Hyundai,Venue,2,14000,18.15,118.35,5,1060000
Datsun RediGO,Datsun,RediGO,3,40000,22.5,67,5,350000
Maruti Alto,Maruti,Alto,11,49650,19.7,46.3,5,210000
Maruti Alto,Maruti,Alto,5,52000,22.74,47.3,5,225000
Maruti Alto,Maruti,Alto,3,15000,24.7,47.3,5,310000
Maruti Alto,Maruti,Alto,5,70000,22.74,47.3,5,250000
Maruti Celerio,Maruti,Celerio,6,19010,23.1,67.04,5,431000
Maruti Celerio,Maruti,Celerio,4,32388,21.63,67.04,5,470000
Renault KWID,Renault,KWID,5,50000,25.17,53.3,5,252000
Datsun RediGO,Datsun,RediGO,1,1001,23,67,5,425000
Maruti Celerio,Maruti,Celerio,6,71500,23.1,67.04,5,295000
Maruti Alto,Maruti,Alto,7,80000,23.95,67.05,5,270000
Renault KWID,Renault,KWID,3,8000,24.04,67,5,430000
Maruti Alto,Maruti,Alto,4,35000,24.7,47.3,5,290000
Maruti Wagon R,Maruti,Wagon R,6,62400,18.9,67.1,5,370000
Maruti Alto,Maruti,Alto,4,21444,24.7,47.3,5,311000
Renault KWID,Renault,KWID,4,10000,23.01,67,5,400000
Maruti Wagon R,Maruti,Wagon R,6,20365,20.51,67,5,400000
Ford Ecosport,Ford,Ecosport,4,45400,18.88,123.24,5,700000
Datsun RediGO,Datsun,RediGO,4,45138,22.5,67,5,322000
Maruti Wagon R,Maruti,Wagon R,4,50000,20.51,67.04,5,380000
Maruti Wagon R,Maruti,Wagon R,13,105379,26.6,58.16,5,219000
Renault KWID,Renault,KWID,6,19000,20.71,53.26,5,335000
Maruti Alto,Maruti,Alto,15,100000,19.7,46.3,5,62000
Maruti Alto,Maruti,Alto,9,79000,19.7,46.3,5,200000
Maruti Wagon R,Maruti,Wagon R,6,17205,20.51,67.04,5,400000
Maruti Wagon R,Maruti,Wagon R,9,83000,18.9,67.1,5,285000
Maruti Wagon R,Maruti,Wagon R,7,50000,20.51,67.04,5,351000
Maruti Celerio,Maruti,Celerio,3,10000,21.63,67,5,510000
Maruti Celerio,Maruti,Celerio,6,23121,23.1,67.04,5,461000
Maruti Alto,Maruti,Alto,4,27265,23.95,67.1,5,371000
Maruti Wagon R,Maruti,Wagon R,3,2000,20.51,67.06,5,450000
Maruti Alto,Maruti,Alto,4,23701,24.7,47.3,5,312000
Maruti S-Presso,Maruti,S-Presso,1,4500,21.7,67,5,550000
Maruti Alto,Maruti,Alto,10,50000,20.92,67.1,5,230000
Renault KWID,Renault,KWID,3,29000,23.01,67,5,370000
Maruti Wagon R,Maruti,Wagon R,6,38700,18.9,67.1,5,375000
Maruti Alto,Maruti,Alto,14,60235,19.7,46.3,5,100000
Maruti Wagon R,Maruti,Wagon R,12,48001,18.9,67.1,5,219000
Maruti Wagon R,Maruti,Wagon R,8,35000,18.9,67.1,5,250000
Renault KWID,Renault,KWID,5,32736,23.01,67,5,310000
Renault KWID,Renault,KWID,4,60000,23.01,67,5,350000
Maruti Alto,Maruti,Alto,8,180000,22.74,47.3,5,180000
Maruti Alto,Maruti,Alto,6,105610,22.74,47.3,5,250000
Maruti Celerio,Maruti,Celerio,7,49000,23.1,67.04,5,335000
Maruti Wagon R,Maruti,Wagon R,2,40000,21.79,67.05,5,450000
Maruti S-Presso,Maruti,S-Presso,1,2000,21.7,67,5,450000
Maruti Wagon R,Maruti,Wagon R,5,10000,20.51,67.04,5,400000
Renault KWID,Renault,KWID,5,54701,23.01,67,5,260000
Maruti Alto,Maruti,Alto,11,70000,19.7,46.3,5,135000
Renault KWID,Renault,KWID,5,58000,23.01,67,5,345000
Maruti Alto,Maruti,Alto,6,18604,22.74,47.3,5,310000
Maruti Alto,Maruti,Alto,9,32103,20.92,67.1,5,245000
Maruti Alto,Maruti,Alto,5,25000,23.95,67.05,5,415000
Maruti Alto,Maruti,Alto,2,32895,22.05,47.3,5,300000
Maruti Alto,Maruti,Alto,7,45075,22.74,47.3,5,255000
Renault KWID,Renault,KWID,3,7300,25.17,53.3,5,330000
Maruti Alto,Maruti,Alto,5,15000,22.74,47.3,5,295000
Datsun RediGO,Datsun,RediGO,3,20000,22.7,53.64,5,425000
Maruti Wagon R,Maruti,Wagon R,5,48000,18.9,67.1,5,425000
Maruti Wagon R,Maruti,Wagon R,12,85281,18.9,67.1,5,210000
Maruti Alto,Maruti,Alto,5,62000,22.74,47.3,5,295000
Renault KWID,Renault,KWID,3,30000,25.17,53.3,5,350000
Maruti Alto,Maruti,Alto,3,30000,23.95,67.05,5,350000
Maruti Wagon R,Maruti,Wagon R,7,50000,14.6,61.6,5,350000
Renault KWID,Renault,KWID,1,1200,22,67,5,450000
Maruti Alto,Maruti,Alto,9,69254,20.92,67.1,5,230000
Datsun RediGO,Datsun,RediGO,4,40000,22.5,67,5,260000
Maruti Alto,Maruti,Alto,11,50000,19.7,46.3,5,250000
Maruti Alto,Maruti,Alto,11,39290,23.95,67.05,5,240000
Maruti Alto,Maruti,Alto,8,71239,22.74,47.3,5,260000
Maruti Alto,Maruti,Alto,1,5000,22.05,47.3,5,300000
Maruti Celerio,Maruti,Celerio,3,40000,23.1,67.04,5,350000
Maruti Alto,Maruti,Alto,4,80000,23.95,67.05,5,300000
Maruti Wagon R,Maruti,Wagon R,10,35000,18.9,67.1,5,315000
Maruti Alto,Maruti,Alto,16,50000,19.7,46.3,5,70000
Maruti Alto,Maruti,Alto,3,10000,23.95,67.1,5,420000
Volkswagen Polo,Volkswagen,Polo,2,18000,18.78,75,5,700000
Maruti Alto,Maruti,Alto,5,40000,22.74,47.3,5,280000
Maruti Alto,Maruti,Alto,9,67000,18.9,47,5,245000
Maruti Wagon R,Maruti,Wagon R,12,69000,21.79,67.05,5,250000
Maruti Alto,Maruti,Alto,14,83000,19.7,46.3,5,110000
Maruti Wagon R,Maruti,Wagon R,6,120000,26.6,58.16,5,333000
Maruti Alto,Maruti,Alto,6,57000,22.74,47.3,5,285000
Maruti Wagon R,Maruti,Wagon R,8,40000,20.51,67.04,5,395000
Maruti Alto,Maruti,Alto,12,63000,19.7,46.3,5,110000
Maruti Celerio,Maruti,Celerio,3,40000,21.63,67,5,450000
Renault KWID,Renault,KWID,6,74675,25.17,53.3,5,284000
Maruti Celerio,Maruti,Celerio,3,48000,23.1,67.04,5,451000
Maruti Wagon R,Maruti,Wagon R,8,61000,18.9,67.1,5,375000
Maruti Celerio,Maruti,Celerio,5,61173,27.62,47,5,375000
Maruti Wagon R,Maruti,Wagon R,5,33949,18.9,67.1,5,385000
Maruti Celerio,Maruti,Celerio,5,50000,23.1,67.04,5,450000
Maruti Alto,Maruti,Alto,4,60000,24.7,47.3,5,250000
Maruti Wagon R,Maruti,Wagon R,9,61000,18.9,67.1,5,275000
Renault KWID,Renault,KWID,4,9000,25.17,53.3,5,410000
Maruti Alto,Maruti,Alto,15,110000,19.7,46.3,5,148000
Renault KWID,Renault,KWID,2,10000,25.17,53.3,5,375000
Maruti Wagon R,Maruti,Wagon R,15,65000,18.9,67.1,5,175000
Maruti Alto,Maruti,Alto,7,60000,23.95,67.05,5,230000
Maruti Wagon R,Maruti,Wagon R,11,40000,18.9,67.1,5,214000
Volkswagen Polo,Volkswagen,Polo,3,14510,18.78,75,5,560000
Maruti Celerio,Maruti,Celerio,2,15000,23.1,67.04,5,460000
Maruti Wagon R,Maruti,Wagon R,4,15000,20.51,67,5,425000
Maruti Wagon R,Maruti,Wagon R,12,82149,21.79,67.05,5,220000
Maruti Wagon R,Maruti,Wagon R,11,45000,18.9,67.1,5,290000
Maruti Alto,Maruti,Alto,9,66000,22.74,47.3,5,220000
Datsun redi-GO,Datsun,redi-GO,3,6000,22,67.05,5,435000
Maruti Wagon R,Maruti,Wagon R,4,39612,21.79,67.05,5,465000
Maruti Wagon R,Maruti,Wagon R,7,20000,20.51,67.04,5,250000
Maruti Wagon R,Maruti,Wagon R,6,41586,21.79,67.05,5,360000
Renault KWID,Renault,KWID,5,25000,25.17,53.3,5,275000
Maruti Alto,Maruti,Alto,9,75000,19.7,46.3,5,245000
Maruti Wagon R,Maruti,Wagon R,5,29000,20.51,67,5,450000
Maruti Alto,Maruti,Alto,9,81622,23.95,67.05,5,240000
Maruti Wagon R,Maruti,Wagon R,17,50000,18.9,67.1,5,80000
Maruti Celerio,Maruti,Celerio,5,53000,23.1,67.04,5,455000
Maruti Wagon R,Maruti,Wagon R,7,80000,20.51,67.04,5,300000
Renault KWID,Renault,KWID,3,1973,24.04,67,5,485000
Datsun RediGO,Datsun,RediGO,4,49000,22.7,53.64,5,220000
Maruti Alto,Maruti,Alto,17,80000,19.7,46.3,5,80000
Maruti Alto,Maruti,Alto,5,35000,22.74,47.3,5,280000
Maruti Alto,Maruti,Alto,11,78000,20.92,67.1,5,245000
Maruti Celerio,Maruti,Celerio,4,40000,23.1,67.04,5,400000
Maruti Alto,Maruti,Alto,4,50000,32.26,58.2,4,315000
Datsun RediGO,Datsun,RediGO,5,50000,22.7,53.64,5,235000
Maruti Alto,Maruti,Alto,6,37528,23.95,67.05,5,310000
Maruti Alto,Maruti,Alto,6,40000,22.74,47.3,5,280000
Maruti Wagon R,Maruti,Wagon R,7,65369,18.9,67.1,5,390000
Maruti Alto,Maruti,Alto,4,54000,24.7,47.3,5,260000
Maruti Alto,Maruti,Alto,2,20387,22.05,47.3,5,335000
Renault KWID,Renault,KWID,3,20000,23.01,67,5,340000
Hyundai Venue,Hyundai,Venue,2,14351,18.27,118.35,5,1090000
Maruti Alto,Maruti,Alto,5,30000,24.7,47.3,5,228000
Maruti Wagon R,Maruti,Wagon R,8,69073,20.51,67.04,5,330000
Maruti Celerio,Maruti,Celerio,4,55000,23.1,67.04,5,450000
Maruti Baleno,Maruti,Baleno,3,21340,21.1,100.5,5,600000
Maruti Alto,Maruti,Alto,9,43043,20.92,67.1,5,230000
Datsun RediGO,Datsun,RediGO,5,11995,22.7,53.64,5,330000
Maruti Wagon R,Maruti,Wagon R,4,38311,20.51,67.04,5,469000
Maruti Celerio,Maruti,Celerio,5,64211,23.1,67.04,5,440000
Maruti Alto,Maruti,Alto,4,40000,23.95,67.05,5,306000
